method,simnum,subjects,hit,miss,fa,cr,cost,startseed
kenett,12,35,270,123,204,12123,327.0,
fe,12,35,93,300,0,12327,300.0,
rw,12,36,390,3,888,11439,891.0,
goni,12,36,372,21,311,12016,332.0,
kenett,12,36,278,115,196,12131,311.0,
fe,12,36,94,299,0,12327,299.0,
rw,12,37,391,2,905,11422,907.0,
goni,12,37,373,20,320,12007,340.0,
kenett,12,37,271,122,203,12124,325.0,
fe,12,37,97,296,0,12327,296.0,
rw,12,38,391,2,920,11407,922.0,
goni,12,38,375,18,327,12000,345.0,
kenett,12,38,279,114,195,12132,309.0,
fe,12,38,100,293,0,12327,293.0,
rw,12,39,391,2,947,11380,949.0,
goni,12,39,375,18,325,12002,343.0,
kenett,12,39,281,112,193,12134,305.0,
fe,12,39,101,292,0,12327,292.0,
rw,12,40,391,2,965,11362,967.0,
goni,12,40,374,19,331,11996,350.0,
kenett,12,40,275,118,199,12128,317.0,
fe,12,40,103,290,0,12327,290.0,
rw,12,41,391,2,982,11345,984.0,
goni,12,41,373,20,337,11990,357.0,
kenett,12,41,279,114,195,12132,309.0,
fe,12,41,104,289,0,12327,289.0,
rw,12,42,391,2,1002,11325,1004.0,
goni,12,42,374,19,345,11982,364.0,
kenett,12,42,282,111,192,12135,303.0,
fe,12,42,105,288,0,12327,288.0,
rw,12,43,391,2,1016,11311,1018.0,
goni,12,43,375,18,352,11975,370.0,
kenett,12,43,279,114,195,12132,309.0,
fe,12,43,107,286,0,12327,286.0,
rw,12,44,391,2,1038,11289,1040.0,
goni,12,44,377,16,360,11967,376.0,
kenett,12,44,277,116,197,12130,313.0,
fe,12,44,110,283,0,12327,283.0,
rw,12,45,392,1,1053,11274,1054.0,
goni,12,45,377,16,365,11962,381.0,
kenett,12,45,280,113,194,12133,307.0,
fe,12,45,112,281,0,12327,281.0,
rw,12,46,392,1,1072,11255,1073.0,
goni,12,46,376,17,372,11955,389.0,
kenett,12,46,281,112,193,12134,305.0,
fe,12,46,114,279,0,12327,279.0,
rw,12,47,392,1,1087,11240,1088.0,
goni,12,47,378,15,380,11947,395.0,
kenett,12,47,281,112,193,12134,305.0,
fe,12,47,116,277,0,12327,277.0,
rw,12,48,393,0,1103,11224,1103.0,
goni,12,48,379,14,388,11939,402.0,
kenett,12,48,288,105,186,12141,291.0,
fe,12,48,118,275,0,12327,275.0,
rw,12,49,393,0,1120,11207,1120.0,
goni,12,49,381,12,388,11939,400.0,
kenett,12,49,285,108,189,12138,297.0,
fe,12,49,119,274,0,12327,274.0,
rw,12,50,393,0,1133,11194,1133.0,
goni,12,50,382,11,391,11936,402.0,
kenett,12,50,281,112,193,12134,305.0,
fe,12,50,121,272,0,12327,272.0,
rw,13,1,69,324,29,12298,353.0,
goni,13,1,7,386,1,12326,387.0,
kenett,13,1,10,383,227,12100,610.0,
fe,13,1,3,390,0,12327,390.0,
rw,13,2,111,282,65,12262,347.0,
goni,13,2,31,362,7,12320,369.0,
kenett,13,2,10,383,302,12025,685.0,
fe,13,2,5,388,0,12327,388.0,
rw,13,3,162,231,95,12232,326.0,
goni,13,3,60,333,16,12311,349.0,
kenett,13,3,21,372,351,11976,723.0,
fe,13,3,8,385,0,12327,385.0,
rw,13,4,202,191,129,12198,320.0,
goni,13,4,84,309,24,12303,333.0,
kenett,13,4,16,377,401,11926,778.0,
fe,13,4,11,382,0,12327,382.0,
rw,13,5,231,162,166,12161,328.0,
goni,13,5,123,270,32,12295,302.0,
kenett,13,5,14,379,406,11921,785.0,
fe,13,5,14,379,0,12327,379.0,
rw,13,6,254,139,196,12131,335.0,
goni,13,6,132,261,47,12280,308.0,
kenett,13,6,14,379,421,11906,800.0,
fe,13,6,17,376,0,12327,376.0,
rw,13,7,272,121,234,12093,355.0,
goni,13,7,152,241,63,12264,304.0,
kenett,13,7,17,376,445,11882,821.0,
fe,13,7,20,373,0,12327,373.0,
rw,13,8,284,109,266,12061,375.0,
goni,13,8,173,220,71,12256,291.0,
kenett,13,8,13,380,449,11878,829.0,
fe,13,8,23,370,0,12327,370.0,
rw,13,9,302,91,294,12033,385.0,
goni,13,9,197,196,81,12246,277.0,
kenett,13,9,22,371,443,11884,814.0,
fe,13,9,26,367,0,12327,367.0,
rw,13,10,319,74,322,12005,396.0,
goni,13,10,221,172,98,12229,270.0,
kenett,13,10,25,368,440,11887,808.0,
fe,13,10,29,364,0,12327,364.0,
rw,13,11,328,65,353,11974,418.0,
goni,13,11,232,161,108,12219,269.0,
kenett,13,11,22,371,446,11881,817.0,
fe,13,11,31,362,0,12327,362.0,
rw,13,12,342,51,379,11948,430.0,
goni,13,12,251,142,128,12199,270.0,
kenett,13,12,24,369,447,11880,816.0,
fe,13,12,34,359,0,12327,359.0,
rw,13,13,345,48,405,11922,453.0,
goni,13,13,254,139,144,12183,283.0,
kenett,13,13,36,357,435,11892,792.0,
fe,13,13,37,356,0,12327,356.0,
rw,13,14,354,39,427,11900,466.0,
goni,13,14,269,124,157,12170,281.0,
kenett,13,14,32,361,439,11888,800.0,
fe,13,14,40,353,0,12327,353.0,
rw,13,15,355,38,462,11865,500.0,
goni,13,15,270,123,155,12172,278.0,
kenett,13,15,40,353,431,11896,784.0,
fe,13,15,42,351,0,12327,351.0,
rw,13,16,357,36,489,11838,525.0,
goni,13,16,287,106,168,12159,274.0,
kenett,13,16,29,364,442,11885,806.0,
fe,13,16,45,348,0,12327,348.0,
rw,13,17,358,35,519,11808,554.0,
goni,13,17,299,94,177,12150,271.0,
kenett,13,17,205,188,269,12058,457.0,
fe,13,17,47,346,0,12327,346.0,
rw,13,18,364,29,539,11788,568.0,
goni,13,18,305,88,181,12146,269.0,
kenett,13,18,219,174,255,12072,429.0,
fe,13,18,49,344,0,12327,344.0,
rw,13,19,368,25,566,11761,591.0,
goni,13,19,308,85,191,12136,276.0,
kenett,13,19,216,177,258,12069,435.0,
fe,13,19,52,341,0,12327,341.0,
rw,13,20,371,22,594,11733,616.0,
goni,13,20,316,77,186,12141,263.0,
kenett,13,20,214,179,260,12067,439.0,
fe,13,20,55,338,0,12327,338.0,
rw,13,21,375,18,617,11710,635.0,
goni,13,21,320,73,209,12118,282.0,
kenett,13,21,217,176,257,12070,433.0,
fe,13,21,57,336,0,12327,336.0,
rw,13,22,378,15,638,11689,653.0,
goni,13,22,324,69,216,12111,285.0,
kenett,13,22,231,162,243,12084,405.0,
fe,13,22,59,334,0,12327,334.0,
rw,13,23,379,14,660,11667,674.0,
goni,13,23,327,66,226,12101,292.0,
kenett,13,23,235,158,239,12088,397.0,
fe,13,23,62,331,0,12327,331.0,
rw,13,24,381,12,684,11643,696.0,
goni,13,24,333,60,233,12094,293.0,
kenett,13,24,234,159,240,12087,399.0,
fe,13,24,65,328,0,12327,328.0,
rw,13,25,381,12,703,11624,715.0,
goni,13,25,338,55,258,12069,313.0,
kenett,13,25,238,155,236,12091,391.0,
fe,13,25,67,326,0,12327,326.0,
rw,13,26,382,11,725,11602,736.0,
goni,13,26,341,52,262,12065,314.0,
kenett,13,26,238,155,236,12091,391.0,
fe,13,26,68,325,0,12327,325.0,
rw,13,27,382,11,743,11584,754.0,
goni,13,27,343,50,266,12061,316.0,
kenett,13,27,241,152,233,12094,385.0,
fe,13,27,70,323,0,12327,323.0,
rw,13,28,384,9,764,11563,773.0,
goni,13,28,348,45,273,12054,318.0,
kenett,13,28,238,155,236,12091,391.0,
fe,13,28,72,321,0,12327,321.0,
rw,13,29,384,9,786,11541,795.0,
goni,13,29,353,40,278,12049,318.0,
kenett,13,29,237,156,237,12090,393.0,
fe,13,29,73,320,0,12327,320.0,
rw,13,30,386,7,812,11515,819.0,
goni,13,30,356,37,283,12044,320.0,
kenett,13,30,236,157,238,12089,395.0,
fe,13,30,75,318,0,12327,318.0,
rw,13,31,388,5,827,11500,832.0,
goni,13,31,360,33,296,12031,329.0,
kenett,13,31,240,153,234,12093,387.0,
fe,13,31,78,315,0,12327,315.0,
rw,13,32,389,4,849,11478,853.0,
goni,13,32,362,31,305,12022,336.0,
kenett,13,32,241,152,233,12094,385.0,
fe,13,32,81,312,0,12327,312.0,
rw,13,33,389,4,865,11462,869.0,
goni,13,33,364,29,315,12012,344.0,
kenett,13,33,244,149,230,12097,379.0,
fe,13,33,83,310,0,12327,310.0,
rw,13,34,389,4,886,11441,890.0,
goni,13,34,366,27,330,11997,357.0,
kenett,13,34,244,149,230,12097,379.0,
fe,13,34,86,307,0,12327,307.0,
rw,13,35,390,3,900,11427,903.0,
goni,13,35,366,27,343,11984,370.0,
kenett,13,35,242,151,232,12095,383.0,
fe,13,35,88,305,0,12327,305.0,
rw,13,36,390,3,918,11409,921.0,
goni,13,36,366,27,342,11985,369.0,
kenett,13,36,242,151,232,12095,383.0,
fe,13,36,90,303,0,12327,303.0,
rw,13,37,390,3,930,11397,933.0,
goni,13,37,367,26,348,11979,374.0,
kenett,13,37,247,146,227,12100,373.0,
fe,13,37,92,301,0,12327,301.0,
rw,13,38,390,3,949,11378,952.0,
goni,13,38,368,25,358,11969,383.0,
kenett,13,38,249,144,225,12102,369.0,
fe,13,38,94,299,0,12327,299.0,
rw,13,39,391,2,965,11362,967.0,
goni,13,39,369,24,371,11956,395.0,
kenett,13,39,251,142,223,12104,365.0,
fe,13,39,97,296,0,12327,296.0,
rw,13,40,391,2,980,11347,982.0,
goni,13,40,370,23,384,11943,407.0,
kenett,13,40,249,144,225,12102,369.0,
fe,13,40,99,294,0,12327,294.0,
rw,13,41,391,2,1002,11325,1004.0,
goni,13,41,369,24,392,11935,416.0,
kenett,13,41,249,144,225,12102,369.0,
fe,13,41,101,292,0,12327,292.0,
rw,13,42,391,2,1019,11308,1021.0,
goni,13,42,372,21,394,11933,415.0,
kenett,13,42,249,144,225,12102,369.0,
fe,13,42,102,291,0,12327,291.0,
rw,13,43,391,2,1037,11290,1039.0,
goni,13,43,375,18,401,11926,419.0,
kenett,13,43,256,137,218,12109,355.0,
fe,13,43,103,290,0,12327,290.0,
rw,13,44,391,2,1057,11270,1059.0,
goni,13,44,378,15,404,11923,419.0,
kenett,13,44,254,139,220,12107,359.0,
fe,13,44,104,289,0,12327,289.0,
rw,13,45,391,2,1070,11257,1072.0,
goni,13,45,381,12,409,11918,421.0,
kenett,13,45,251,142,223,12104,365.0,
fe,13,45,107,286,0,12327,286.0,
rw,13,46,392,1,1090,11237,1091.0,
goni,13,46,380,13,419,11908,432.0,
kenett,13,46,255,138,219,12108,357.0,
fe,13,46,110,283,0,12327,283.0,
rw,13,47,393,0,1106,11221,1106.0,
goni,13,47,382,11,422,11905,433.0,
kenett,13,47,261,132,213,12114,345.0,
fe,13,47,112,281,0,12327,281.0,
rw,13,48,393,0,1116,11211,1116.0,
goni,13,48,383,10,426,11901,436.0,
kenett,13,48,254,139,220,12107,359.0,
fe,13,48,114,279,0,12327,279.0,
rw,13,49,393,0,1130,11197,1130.0,
goni,13,49,383,10,431,11896,441.0,
kenett,13,49,259,134,215,12112,349.0,
fe,13,49,114,279,0,12327,279.0,
rw,13,50,393,0,1145,11182,1145.0,
goni,13,50,382,11,436,11891,447.0,
kenett,13,50,256,137,218,12109,355.0,
fe,13,50,117,276,0,12327,276.0,
rw,14,1,71,322,24,12303,346.0,
goni,14,1,10,383,1,12326,384.0,
kenett,14,1,14,379,190,12137,569.0,
fe,14,1,3,390,0,12327,390.0,
rw,14,2,138,255,48,12279,303.0,
goni,14,2,22,371,4,12323,375.0,
kenett,14,2,17,376,319,12008,695.0,
fe,14,2,6,387,0,12327,387.0,
rw,14,3,179,214,79,12248,293.0,
goni,14,3,60,333,15,12312,348.0,
kenett,14,3,21,372,378,11949,750.0,
fe,14,3,8,385,0,12327,385.0,
rw,14,4,211,182,118,12209,300.0,
goni,14,4,91,302,23,12304,325.0,
kenett,14,4,18,375,426,11901,801.0,
fe,14,4,11,382,0,12327,382.0,
rw,14,5,242,151,150,12177,301.0,
goni,14,5,122,271,40,12287,311.0,
kenett,14,5,22,371,443,11884,814.0,
fe,14,5,14,379,0,12327,379.0,
rw,14,6,269,124,176,12151,300.0,
goni,14,6,150,243,54,12273,297.0,
kenett,14,6,31,362,437,11890,799.0,
fe,14,6,17,376,0,12327,376.0,
rw,14,7,296,97,207,12120,304.0,
goni,14,7,166,227,69,12258,296.0,
kenett,14,7,138,255,336,11991,591.0,
fe,14,7,20,373,0,12327,373.0,
rw,14,8,314,79,234,12093,313.0,
goni,14,8,186,207,80,12247,287.0,
kenett,14,8,137,256,337,11990,593.0,
fe,14,8,23,370,0,12327,370.0,
rw,14,9,321,72,267,12060,339.0,
goni,14,9,199,194,93,12234,287.0,
kenett,14,9,153,240,321,12006,561.0,
fe,14,9,26,367,0,12327,367.0,
rw,14,10,335,58,291,12036,349.0,
goni,14,10,229,164,101,12226,265.0,
kenett,14,10,163,230,311,12016,541.0,
fe,14,10,29,364,0,12327,364.0,
rw,14,11,343,50,320,12007,370.0,
goni,14,11,248,145,114,12213,259.0,
kenett,14,11,179,214,295,12032,509.0,
fe,14,11,31,362,0,12327,362.0,
rw,14,12,353,40,347,11980,387.0,
goni,14,12,267,126,129,12198,255.0,
kenett,14,12,183,210,291,12036,501.0,
fe,14,12,34,359,0,12327,359.0,
rw,14,13,359,34,374,11953,408.0,
goni,14,13,270,123,141,12186,264.0,
kenett,14,13,199,194,275,12052,469.0,
fe,14,13,37,356,0,12327,356.0,
rw,14,14,365,28,397,11930,425.0,
goni,14,14,282,111,149,12178,260.0,
kenett,14,14,204,189,270,12057,459.0,
fe,14,14,38,355,0,12327,355.0,
rw,14,15,370,23,427,11900,450.0,
goni,14,15,290,103,157,12170,260.0,
kenett,14,15,201,192,273,12054,465.0,
fe,14,15,41,352,0,12327,352.0,
rw,14,16,372,21,452,11875,473.0,
goni,14,16,303,90,165,12162,255.0,
kenett,14,16,202,191,272,12055,463.0,
fe,14,16,44,349,0,12327,349.0,
rw,14,17,376,17,477,11850,494.0,
goni,14,17,307,86,179,12148,265.0,
kenett,14,17,218,175,256,12071,431.0,
fe,14,17,47,346,0,12327,346.0,
rw,14,18,379,14,503,11824,517.0,
goni,14,18,316,77,183,12144,260.0,
kenett,14,18,216,177,258,12069,435.0,
fe,14,18,49,344,0,12327,344.0,
rw,14,19,379,14,533,11794,547.0,
goni,14,19,323,70,194,12133,264.0,
kenett,14,19,225,168,249,12078,417.0,
fe,14,19,51,342,0,12327,342.0,
rw,14,20,380,13,556,11771,569.0,
goni,14,20,327,66,194,12133,260.0,
kenett,14,20,223,170,251,12076,421.0,
fe,14,20,53,340,0,12327,340.0,
rw,14,21,382,11,576,11751,587.0,
goni,14,21,333,60,204,12123,264.0,
kenett,14,21,232,161,242,12085,403.0,
fe,14,21,56,337,0,12327,337.0,
rw,14,22,382,11,601,11726,612.0,
goni,14,22,335,58,207,12120,265.0,
kenett,14,22,232,161,242,12085,403.0,
fe,14,22,58,335,0,12327,335.0,
rw,14,23,383,10,627,11700,637.0,
goni,14,23,344,49,225,12102,274.0,
kenett,14,23,233,160,241,12086,401.0,
fe,14,23,61,332,0,12327,332.0,
rw,14,24,384,9,642,11685,651.0,
goni,14,24,347,46,232,12095,278.0,
kenett,14,24,230,163,244,12083,407.0,
fe,14,24,63,330,0,12327,330.0,
rw,14,25,385,8,659,11668,667.0,
goni,14,25,348,45,235,12092,280.0,
kenett,14,25,244,149,230,12097,379.0,
fe,14,25,66,327,0,12327,327.0,
rw,14,26,387,6,683,11644,689.0,
goni,14,26,354,39,241,12086,280.0,
kenett,14,26,236,157,238,12089,395.0,
fe,14,26,69,324,0,12327,324.0,
rw,14,27,388,5,710,11617,715.0,
goni,14,27,355,38,243,12084,281.0,
kenett,14,27,241,152,233,12094,385.0,
fe,14,27,72,321,0,12327,321.0,
rw,14,28,390,3,730,11597,733.0,
goni,14,28,357,36,258,12069,294.0,
kenett,14,28,248,145,226,12101,371.0,
fe,14,28,73,320,0,12327,320.0,
rw,14,29,390,3,746,11581,749.0,
goni,14,29,361,32,264,12063,296.0,
kenett,14,29,243,150,231,12096,381.0,
fe,14,29,76,317,0,12327,317.0,
rw,14,30,390,3,767,11560,770.0,
goni,14,30,363,30,268,12059,298.0,
kenett,14,30,250,143,224,12103,367.0,
fe,14,30,78,315,0,12327,315.0,
rw,14,31,390,3,787,11540,790.0,
goni,14,31,362,31,272,12055,303.0,
kenett,14,31,254,139,220,12107,359.0,
fe,14,31,81,312,0,12327,312.0,
rw,14,32,390,3,807,11520,810.0,
goni,14,32,361,32,278,12049,310.0,
kenett,14,32,257,136,217,12110,353.0,
fe,14,32,83,310,0,12327,310.0,
rw,14,33,390,3,827,11500,830.0,
goni,14,33,365,28,285,12042,313.0,
kenett,14,33,263,130,211,12116,341.0,
fe,14,33,85,308,0,12327,308.0,
rw,14,34,390,3,838,11489,841.0,
goni,14,34,367,26,286,12041,312.0,
kenett,14,34,264,129,210,12117,339.0,
fe,14,34,87,306,0,12327,306.0,
rw,14,35,390,3,851,11476,854.0,
goni,14,35,367,26,300,12027,326.0,
kenett,14,35,266,127,208,12119,335.0,
fe,14,35,89,304,0,12327,304.0,
rw,14,36,390,3,876,11451,879.0,
goni,14,36,372,21,308,12019,329.0,
kenett,14,36,270,123,204,12123,327.0,
fe,14,36,91,302,0,12327,302.0,
rw,14,37,390,3,893,11434,896.0,
goni,14,37,375,18,320,12007,338.0,
kenett,14,37,269,124,205,12122,329.0,
fe,14,37,93,300,0,12327,300.0,
rw,14,38,390,3,913,11414,916.0,
goni,14,38,376,17,320,12007,337.0,
kenett,14,38,274,119,200,12127,319.0,
fe,14,38,95,298,0,12327,298.0,
rw,14,39,390,3,937,11390,940.0,
goni,14,39,376,17,325,12002,342.0,
kenett,14,39,277,116,197,12130,313.0,
fe,14,39,97,296,0,12327,296.0,
rw,14,40,390,3,954,11373,957.0,
goni,14,40,377,16,324,12003,340.0,
kenett,14,40,278,115,196,12131,311.0,
fe,14,40,99,294,0,12327,294.0,
rw,14,41,391,2,978,11349,980.0,
goni,14,41,376,17,346,11981,363.0,
kenett,14,41,278,115,196,12131,311.0,
fe,14,41,102,291,0,12327,291.0,
rw,14,42,392,1,992,11335,993.0,
goni,14,42,377,16,354,11973,370.0,
kenett,14,42,276,117,198,12129,315.0,
fe,14,42,105,288,0,12327,288.0,
rw,14,43,392,1,1005,11322,1006.0,
goni,14,43,377,16,355,11972,371.0,
kenett,14,43,273,120,201,12126,321.0,
fe,14,43,108,285,0,12327,285.0,
rw,14,44,392,1,1029,11298,1030.0,
goni,14,44,377,16,356,11971,372.0,
kenett,14,44,280,113,194,12133,307.0,
fe,14,44,111,282,0,12327,282.0,
rw,14,45,392,1,1048,11279,1049.0,
goni,14,45,377,16,366,11961,382.0,
kenett,14,45,284,109,190,12137,299.0,
fe,14,45,113,280,0,12327,280.0,
rw,14,46,393,0,1066,11261,1066.0,
goni,14,46,380,13,372,11955,385.0,
kenett,14,46,278,115,196,12131,311.0,
fe,14,46,115,278,0,12327,278.0,
rw,14,47,393,0,1081,11246,1081.0,
goni,14,47,380,13,387,11940,400.0,
kenett,14,47,276,117,198,12129,315.0,
fe,14,47,117,276,0,12327,276.0,
rw,14,48,393,0,1107,11220,1107.0,
goni,14,48,380,13,402,11925,415.0,
kenett,14,48,276,117,198,12129,315.0,
fe,14,48,118,275,0,12327,275.0,
rw,14,49,393,0,1122,11205,1122.0,
goni,14,49,381,12,402,11925,414.0,
kenett,14,49,272,121,202,12125,323.0,
fe,14,49,121,272,0,12327,272.0,
rw,14,50,393,0,1138,11189,1138.0,
goni,14,50,381,12,402,11925,414.0,
kenett,14,50,271,122,203,12124,325.0,
fe,14,50,121,272,0,12327,272.0,
rw,15,1,55,338,35,12292,373.0,
goni,15,1,13,380,3,12324,383.0,
kenett,15,1,11,382,169,12158,551.0,
fe,15,1,3,390,0,12327,390.0,
rw,15,2,119,274,61,12266,335.0,
goni,15,2,30,363,7,12320,370.0,
kenett,15,2,17,376,334,11993,710.0,
fe,15,2,6,387,0,12327,387.0,
rw,15,3,164,229,87,12240,316.0,
goni,15,3,63,330,15,12312,345.0,
kenett,15,3,12,381,378,11949,759.0,
fe,15,3,9,384,0,12327,384.0,
rw,15,4,204,189,115,12212,304.0,
goni,15,4,85,308,23,12304,331.0,
kenett,15,4,20,373,394,11933,767.0,
fe,15,4,12,381,0,12327,381.0,
rw,15,5,233,160,152,12175,312.0,
goni,15,5,115,278,30,12297,308.0,
kenett,15,5,18,375,420,11907,795.0,
fe,15,5,15,378,0,12327,378.0,
rw,15,6,259,134,176,12151,310.0,
goni,15,6,148,245,40,12287,285.0,
kenett,15,6,19,374,440,11887,814.0,
fe,15,6,18,375,0,12327,375.0,
rw,15,7,283,110,197,12130,307.0,
goni,15,7,162,231,50,12277,281.0,
kenett,15,7,18,375,450,11877,825.0,
fe,15,7,21,372,0,12327,372.0,
rw,15,8,297,96,229,12098,325.0,
goni,15,8,177,216,58,12269,274.0,
kenett,15,8,21,372,447,11880,819.0,
fe,15,8,24,369,0,12327,369.0,
rw,15,9,311,82,259,12068,341.0,
goni,15,9,193,200,75,12252,275.0,
kenett,15,9,20,373,448,11879,821.0,
fe,15,9,26,367,0,12327,367.0,
rw,15,10,326,67,287,12040,354.0,
goni,15,10,215,178,96,12231,274.0,
kenett,15,10,17,376,454,11873,830.0,
fe,15,10,29,364,0,12327,364.0,
rw,15,11,339,54,309,12018,363.0,
goni,15,11,238,155,109,12218,264.0,
kenett,15,11,166,227,308,12019,535.0,
fe,15,11,32,361,0,12327,361.0,
rw,15,12,346,47,337,11990,384.0,
goni,15,12,254,139,109,12218,248.0,
kenett,15,12,176,217,298,12029,515.0,
fe,15,12,35,358,0,12327,358.0,
rw,15,13,354,39,362,11965,401.0,
goni,15,13,265,128,123,12204,251.0,
kenett,15,13,187,206,287,12040,493.0,
fe,15,13,38,355,0,12327,355.0,
rw,15,14,357,36,385,11942,421.0,
goni,15,14,280,113,140,12187,253.0,
kenett,15,14,182,211,292,12035,503.0,
fe,15,14,41,352,0,12327,352.0,
rw,15,15,360,33,406,11921,439.0,
goni,15,15,291,102,147,12180,249.0,
kenett,15,15,199,194,275,12052,469.0,
fe,15,15,44,349,0,12327,349.0,
rw,15,16,365,28,433,11894,461.0,
goni,15,16,303,90,149,12178,239.0,
kenett,15,16,196,197,278,12049,475.0,
fe,15,16,47,346,0,12327,346.0,
rw,15,17,371,22,459,11868,481.0,
goni,15,17,307,86,158,12169,244.0,
kenett,15,17,206,187,268,12059,455.0,
fe,15,17,49,344,0,12327,344.0,
rw,15,18,374,19,471,11856,490.0,
goni,15,18,321,72,157,12170,229.0,
kenett,15,18,196,197,278,12049,475.0,
fe,15,18,52,341,0,12327,341.0,
rw,15,19,377,16,495,11832,511.0,
goni,15,19,329,64,158,12169,222.0,
kenett,15,19,203,190,271,12056,461.0,
fe,15,19,54,339,0,12327,339.0,
rw,15,20,379,14,520,11807,534.0,
goni,15,20,332,61,168,12159,229.0,
kenett,15,20,211,182,263,12064,445.0,
fe,15,20,57,336,0,12327,336.0,
rw,15,21,379,14,545,11782,559.0,
goni,15,21,338,55,174,12153,229.0,
kenett,15,21,218,175,256,12071,431.0,
fe,15,21,60,333,0,12327,333.0,
rw,15,22,380,13,564,11763,577.0,
goni,15,22,345,48,183,12144,231.0,
kenett,15,22,232,161,242,12085,403.0,
fe,15,22,62,331,0,12327,331.0,
rw,15,23,381,12,588,11739,600.0,
goni,15,23,346,47,201,12126,248.0,
kenett,15,23,234,159,240,12087,399.0,
fe,15,23,65,328,0,12327,328.0,
rw,15,24,383,10,610,11717,620.0,
goni,15,24,349,44,215,12112,259.0,
kenett,15,24,228,165,246,12081,411.0,
fe,15,24,67,326,0,12327,326.0,
rw,15,25,385,8,625,11702,633.0,
goni,15,25,355,38,227,12100,265.0,
kenett,15,25,226,167,248,12079,415.0,
fe,15,25,69,324,0,12327,324.0,
rw,15,26,386,7,641,11686,648.0,
goni,15,26,357,36,231,12096,267.0,
kenett,15,26,235,158,239,12088,397.0,
fe,15,26,71,322,0,12327,322.0,
rw,15,27,386,7,659,11668,666.0,
goni,15,27,359,34,234,12093,268.0,
kenett,15,27,238,155,236,12091,391.0,
fe,15,27,74,319,0,12327,319.0,
rw,15,28,387,6,682,11645,688.0,
goni,15,28,358,35,252,12075,287.0,
kenett,15,28,251,142,223,12104,365.0,
fe,15,28,77,316,0,12327,316.0,
rw,15,29,389,4,705,11622,709.0,
goni,15,29,360,33,259,12068,292.0,
kenett,15,29,242,151,232,12095,383.0,
fe,15,29,79,314,0,12327,314.0,
rw,15,30,389,4,728,11599,732.0,
goni,15,30,363,30,260,12067,290.0,
kenett,15,30,241,152,233,12094,385.0,
fe,15,30,82,311,0,12327,311.0,
rw,15,31,390,3,748,11579,751.0,
goni,15,31,365,28,269,12058,297.0,
kenett,15,31,255,138,219,12108,357.0,
fe,15,31,85,308,0,12327,308.0,
rw,15,32,390,3,763,11564,766.0,
goni,15,32,368,25,280,12047,305.0,
kenett,15,32,260,133,214,12113,347.0,
fe,15,32,86,307,0,12327,307.0,
rw,15,33,390,3,782,11545,785.0,
goni,15,33,369,24,289,12038,313.0,
kenett,15,33,261,132,213,12114,345.0,
fe,15,33,89,304,0,12327,304.0,
rw,15,34,390,3,807,11520,810.0,
goni,15,34,370,23,296,12031,319.0,
kenett,15,34,264,129,210,12117,339.0,
fe,15,34,91,302,0,12327,302.0,
rw,15,35,390,3,824,11503,827.0,
goni,15,35,373,20,299,12028,319.0,
kenett,15,35,261,132,213,12114,345.0,
fe,15,35,93,300,0,12327,300.0,
rw,15,36,391,2,837,11490,839.0,
goni,15,36,373,20,299,12028,319.0,
kenett,15,36,255,138,219,12108,357.0,
fe,15,36,95,298,0,12327,298.0,
rw,15,37,391,2,860,11467,862.0,
goni,15,37,373,20,306,12021,326.0,
kenett,15,37,257,136,217,12110,353.0,
fe,15,37,97,296,0,12327,296.0,
rw,15,38,391,2,872,11455,874.0,
goni,15,38,375,18,313,12014,331.0,
kenett,15,38,265,128,209,12118,337.0,
fe,15,38,99,294,0,12327,294.0,
rw,15,39,391,2,894,11433,896.0,
goni,15,39,375,18,319,12008,337.0,
kenett,15,39,259,134,215,12112,349.0,
fe,15,39,101,292,0,12327,292.0,
rw,15,40,391,2,921,11406,923.0,
goni,15,40,374,19,316,12011,335.0,
kenett,15,40,261,132,213,12114,345.0,
fe,15,40,103,290,0,12327,290.0,
rw,15,41,391,2,934,11393,936.0,
goni,15,41,375,18,318,12009,336.0,
kenett,15,41,254,139,220,12107,359.0,
fe,15,41,105,288,0,12327,288.0,
rw,15,42,391,2,959,11368,961.0,
goni,15,42,378,15,328,11999,343.0,
kenett,15,42,259,134,215,12112,349.0,
fe,15,42,108,285,0,12327,285.0,
rw,15,43,391,2,976,11351,978.0,
goni,15,43,378,15,336,11991,351.0,
kenett,15,43,256,137,218,12109,355.0,
fe,15,43,111,282,0,12327,282.0,
rw,15,44,392,1,991,11336,992.0,
goni,15,44,378,15,341,11986,356.0,
kenett,15,44,258,135,216,12111,351.0,
fe,15,44,113,280,0,12327,280.0,
rw,15,45,392,1,1010,11317,1011.0,
goni,15,45,378,15,348,11979,363.0,
kenett,15,45,260,133,214,12113,347.0,
fe,15,45,115,278,0,12327,278.0,
rw,15,46,392,1,1028,11299,1029.0,
goni,15,46,379,14,349,11978,363.0,
kenett,15,46,271,122,203,12124,325.0,
fe,15,46,117,276,0,12327,276.0,
rw,15,47,392,1,1044,11283,1045.0,
goni,15,47,380,13,365,11962,378.0,
kenett,15,47,271,122,203,12124,325.0,
fe,15,47,117,276,0,12327,276.0,
rw,15,48,392,1,1065,11262,1066.0,
goni,15,48,382,11,374,11953,385.0,
kenett,15,48,273,120,201,12126,321.0,
fe,15,48,119,274,0,12327,274.0,
