method,simnum,subjects,hit,miss,fa,cr,cost,startseed
rw,17,27,388,5,714,11613,719,
goni,17,27,343,50,241,12086,291,
kenett,17,27,249,144,225,12102,369,
fe,17,27,71,322,0,12327,322,
rw,17,28,389,4,736,11591,740,
goni,17,28,345,48,249,12078,297,
kenett,17,28,245,148,229,12098,377,
fe,17,28,73,320,0,12327,320,
rw,17,29,390,3,754,11573,757,
goni,17,29,345,48,254,12073,302,
kenett,17,29,255,138,219,12108,357,
fe,17,29,76,317,0,12327,317,
rw,17,30,390,3,770,11557,773,
goni,17,30,353,40,269,12058,309,
kenett,17,30,257,136,217,12110,353,
fe,17,30,77,316,0,12327,316,
rw,17,31,390,3,795,11532,798,
goni,17,31,354,39,275,12052,314,
kenett,17,31,250,143,224,12103,367,
fe,17,31,80,313,0,12327,313,
rw,17,32,390,3,806,11521,809,
goni,17,32,358,35,277,12050,312,
kenett,17,32,255,138,219,12108,357,
fe,17,32,82,311,0,12327,311,
rw,17,33,390,3,817,11510,820,
goni,17,33,360,33,283,12044,316,
kenett,17,33,256,137,218,12109,355,
fe,17,33,85,308,0,12327,308,
rw,17,34,391,2,837,11490,839,
goni,17,34,361,32,288,12039,320,
kenett,17,34,254,139,220,12107,359,
fe,17,34,87,306,0,12327,306,
rw,17,35,391,2,859,11468,861,
goni,17,35,365,28,300,12027,328,
kenett,17,35,269,124,205,12122,329,
fe,17,35,90,303,0,12327,303,
rw,17,36,391,2,873,11454,875,
goni,17,36,368,25,311,12016,336,
kenett,17,36,266,127,208,12119,335,
fe,17,36,92,301,0,12327,301,
rw,17,37,391,2,888,11439,890,
goni,17,37,369,24,311,12016,335,
kenett,17,37,269,124,205,12122,329,
fe,17,37,95,298,0,12327,298,
rw,17,38,392,1,904,11423,905,
goni,17,38,371,22,322,12005,344,
kenett,17,38,254,139,220,12107,359,
fe,17,38,98,295,0,12327,295,
rw,17,39,392,1,919,11408,920,
goni,17,39,372,21,336,11991,357,
kenett,17,39,260,133,214,12113,347,
fe,17,39,100,293,0,12327,293,
rw,17,40,392,1,934,11393,935,
goni,17,40,374,19,339,11988,358,
kenett,17,40,261,132,213,12114,345,
fe,17,40,101,292,0,12327,292,
rw,17,41,392,1,952,11375,953,
goni,17,41,374,19,352,11975,371,
kenett,17,41,267,126,207,12120,333,
fe,17,41,104,289,0,12327,289,
rw,17,42,392,1,965,11362,966,
goni,17,42,376,17,346,11981,363,
kenett,17,42,266,127,208,12119,335,
fe,17,42,106,287,0,12327,287,
rw,17,43,393,0,981,11346,981,
goni,17,43,377,16,358,11969,374,
kenett,17,43,276,117,198,12129,315,
fe,17,43,107,286,0,12327,286,
rw,17,44,393,0,995,11332,995,
goni,17,44,378,15,364,11963,379,
kenett,17,44,265,128,209,12118,337,
fe,17,44,108,285,0,12327,285,
rw,17,45,393,0,1012,11315,1012,
goni,17,45,378,15,369,11958,384,
kenett,17,45,272,121,202,12125,323,
fe,17,45,111,282,0,12327,282,
rw,17,46,393,0,1025,11302,1025,
goni,17,46,379,14,379,11948,393,
kenett,17,46,274,119,200,12127,319,
fe,17,46,113,280,0,12327,280,
rw,17,47,393,0,1036,11291,1036,
goni,17,47,379,14,385,11942,399,
kenett,17,47,274,119,200,12127,319,
fe,17,47,115,278,0,12327,278,
rw,17,48,393,0,1053,11274,1053,
goni,17,48,379,14,388,11939,402,
kenett,17,48,276,117,198,12129,315,
fe,17,48,116,277,0,12327,277,
rw,17,49,393,0,1064,11263,1064,
goni,17,49,381,12,394,11933,406,
kenett,17,49,278,115,196,12131,311,
fe,17,49,119,274,0,12327,274,
rw,17,50,393,0,1074,11253,1074,
goni,17,50,382,11,411,11916,422,
kenett,17,50,280,113,194,12133,307,
fe,17,50,119,274,0,12327,274,
rw,18,1,74,319,22,12305,341,
goni,18,1,8,385,1,12326,386,
kenett,18,1,12,381,204,12123,585,
fe,18,1,3,390,0,12327,390,
rw,18,2,132,261,50,12277,311,
goni,18,2,37,356,4,12323,360,
kenett,18,2,17,376,328,11999,704,
fe,18,2,6,387,0,12327,387,
rw,18,3,173,220,87,12240,307,
goni,18,3,64,329,8,12319,337,
kenett,18,3,14,379,397,11930,776,
fe,18,3,9,384,0,12327,384,
rw,18,4,202,191,121,12206,312,
goni,18,4,97,296,24,12303,320,
kenett,18,4,15,378,423,11904,801,
fe,18,4,11,382,0,12327,382,
rw,18,5,227,166,146,12181,312,
goni,18,5,129,264,40,12287,304,
kenett,18,5,14,379,433,11894,812,
fe,18,5,14,379,0,12327,379,
rw,18,6,253,140,171,12156,311,
goni,18,6,148,245,50,12277,295,
kenett,18,6,15,378,435,11892,813,
fe,18,6,17,376,0,12327,376,
rw,18,7,272,121,198,12129,319,
goni,18,7,172,221,61,12266,282,
kenett,18,7,17,376,439,11888,815,
fe,18,7,20,373,0,12327,373,
rw,18,8,299,94,225,12102,319,
goni,18,8,192,201,77,12250,278,
kenett,18,8,19,374,443,11884,817,
fe,18,8,23,370,0,12327,370,
rw,18,9,309,84,251,12076,335,
goni,18,9,211,182,85,12242,267,
kenett,18,9,22,371,440,11887,811,
fe,18,9,25,368,0,12327,368,
rw,18,10,318,75,274,12053,349,
goni,18,10,228,165,96,12231,261,
kenett,18,10,17,376,445,11882,821,
fe,18,10,27,366,0,12327,366,
rw,18,11,329,64,301,12026,365,
goni,18,11,252,141,106,12221,247,
kenett,18,11,21,372,444,11883,816,
fe,18,11,30,363,0,12327,363,
rw,18,12,339,54,325,12002,379,
goni,18,12,266,127,116,12211,243,
kenett,18,12,49,344,419,11908,763,
fe,18,12,33,360,0,12327,360,
rw,18,13,350,43,358,11969,401,
goni,18,13,276,117,135,12192,252,
kenett,18,13,50,343,421,11906,764,
fe,18,13,36,357,0,12327,357,
rw,18,14,354,39,386,11941,425,
goni,18,14,282,111,149,12178,260,
kenett,18,14,201,192,273,12054,465,
fe,18,14,39,354,0,12327,354,
rw,18,15,357,36,406,11921,442,
goni,18,15,290,103,155,12172,258,
kenett,18,15,200,193,274,12053,467,
fe,18,15,41,352,0,12327,352,
rw,18,16,364,29,434,11893,463,
goni,18,16,296,97,166,12161,263,
kenett,18,16,208,185,266,12061,451,
fe,18,16,44,349,0,12327,349,
rw,18,17,370,23,462,11865,485,
goni,18,17,307,86,171,12156,257,
kenett,18,17,213,180,261,12066,441,
fe,18,17,46,347,0,12327,347,
rw,18,18,372,21,490,11837,511,
goni,18,18,309,84,175,12152,259,
kenett,18,18,227,166,247,12080,413,
fe,18,18,49,344,0,12327,344,
rw,18,19,373,20,520,11807,540,
goni,18,19,315,78,181,12146,259,
kenett,18,19,236,157,238,12089,395,
fe,18,19,52,341,0,12327,341,
rw,18,20,376,17,537,11790,554,
goni,18,20,324,69,187,12140,256,
kenett,18,20,234,159,240,12087,399,
fe,18,20,55,338,0,12327,338,
rw,18,21,380,13,558,11769,571,
goni,18,21,327,66,194,12133,260,
kenett,18,21,236,157,238,12089,395,
fe,18,21,58,335,0,12327,335,
rw,18,22,381,12,571,11756,583,
goni,18,22,332,61,199,12128,260,
kenett,18,22,243,150,231,12096,381,
fe,18,22,61,332,0,12327,332,
rw,18,23,381,12,593,11734,605,
goni,18,23,333,60,213,12114,273,
kenett,18,23,240,153,234,12093,387,
fe,18,23,64,329,0,12327,329,
rw,18,24,383,10,616,11711,626,
goni,18,24,339,54,226,12101,280,
kenett,18,24,239,154,235,12092,389,
fe,18,24,67,326,0,12327,326,
rw,18,25,384,9,635,11692,644,
goni,18,25,350,43,238,12089,281,
kenett,18,25,244,149,230,12097,379,
fe,18,25,70,323,0,12327,323,
rw,18,26,385,8,648,11679,656,
goni,18,26,351,42,246,12081,288,
kenett,18,26,260,133,214,12113,347,
fe,18,26,73,320,0,12327,320,
rw,18,27,385,8,669,11658,677,
goni,18,27,354,39,255,12072,294,
kenett,18,27,252,141,222,12105,363,
fe,18,27,75,318,0,12327,318,
rw,18,28,386,7,697,11630,704,
goni,18,28,359,34,273,12054,307,
kenett,18,28,255,138,219,12108,357,
fe,18,28,76,317,0,12327,317,
rw,18,29,386,7,718,11609,725,
goni,18,29,359,34,275,12052,309,
kenett,18,29,255,138,219,12108,357,
fe,18,29,79,314,0,12327,314,
rw,18,30,386,7,743,11584,750,
goni,18,30,361,32,278,12049,310,
kenett,18,30,263,130,211,12116,341,
fe,18,30,81,312,0,12327,312,
rw,18,31,387,6,768,11559,774,
goni,18,31,362,31,283,12044,314,
kenett,18,31,262,131,212,12115,343,
fe,18,31,84,309,0,12327,309,
rw,18,32,388,5,787,11540,792,
goni,18,32,364,29,289,12038,318,
kenett,18,32,261,132,213,12114,345,
fe,18,32,86,307,0,12327,307,
rw,18,33,388,5,798,11529,803,
goni,18,33,364,29,294,12033,323,
kenett,18,33,262,131,212,12115,343,
fe,18,33,87,306,0,12327,306,
rw,18,34,388,5,816,11511,821,
goni,18,34,368,25,294,12033,319,
kenett,18,34,262,131,212,12115,343,
fe,18,34,89,304,0,12327,304,
rw,18,35,390,3,831,11496,834,
goni,18,35,368,25,296,12031,321,
kenett,18,35,266,127,208,12119,335,
fe,18,35,91,302,0,12327,302,
rw,18,36,390,3,851,11476,854,
goni,18,36,368,25,303,12024,328,
kenett,18,36,262,131,212,12115,343,
fe,18,36,93,300,0,12327,300,
rw,18,37,390,3,872,11455,875,
goni,18,37,370,23,306,12021,329,
kenett,18,37,256,137,218,12109,355,
fe,18,37,96,297,0,12327,297,
rw,18,38,391,2,899,11428,901,
goni,18,38,371,22,321,12006,343,
kenett,18,38,256,137,218,12109,355,
fe,18,38,98,295,0,12327,295,
rw,18,39,391,2,920,11407,922,
goni,18,39,372,21,331,11996,352,
kenett,18,39,258,135,216,12111,351,
fe,18,39,101,292,0,12327,292,
rw,18,40,392,1,941,11386,942,
goni,18,40,372,21,338,11989,359,
kenett,18,40,258,135,216,12111,351,
fe,18,40,104,289,0,12327,289,
rw,18,41,392,1,955,11372,956,
goni,18,41,375,18,352,11975,370,
kenett,18,41,262,131,212,12115,343,
fe,18,41,107,286,0,12327,286,
rw,18,42,392,1,983,11344,984,
goni,18,42,377,16,362,11965,378,
kenett,18,42,262,131,212,12115,343,
fe,18,42,108,285,0,12327,285,
rw,18,43,393,0,1004,11323,1004,
goni,18,43,378,15,371,11956,386,
kenett,18,43,265,128,209,12118,337,
fe,18,43,110,283,0,12327,283,
rw,18,44,393,0,1014,11313,1014,
goni,18,44,376,17,383,11944,400,
kenett,18,44,262,131,212,12115,343,
fe,18,44,112,281,0,12327,281,
rw,18,45,393,0,1030,11297,1030,
goni,18,45,378,15,388,11939,403,
kenett,18,45,263,130,211,12116,341,
fe,18,45,115,278,0,12327,278,
rw,18,46,393,0,1048,11279,1048,
goni,18,46,379,14,401,11926,415,
kenett,18,46,261,132,213,12114,345,
fe,18,46,117,276,0,12327,276,
rw,18,47,393,0,1072,11255,1072,
goni,18,47,377,16,403,11924,419,
kenett,18,47,268,125,206,12121,331,
fe,18,47,119,274,0,12327,274,
rw,18,48,393,0,1083,11244,1083,
goni,18,48,378,15,402,11925,417,
kenett,18,48,266,127,208,12119,335,
fe,18,48,122,271,0,12327,271,
rw,18,49,393,0,1101,11226,1101,
goni,18,49,379,14,400,11927,414,
kenett,18,49,266,127,208,12119,335,
fe,18,49,123,270,0,12327,270,
rw,18,50,393,0,1120,11207,1120,
goni,18,50,381,12,404,11923,416,
kenett,18,50,266,127,208,12119,335,
fe,18,50,124,269,0,12327,269,
rw,19,1,61,332,37,12290,369,
goni,19,1,6,387,1,12326,388,
kenett,19,1,10,383,209,12118,592,
fe,19,1,3,390,0,12327,390,
rw,19,2,111,282,73,12254,355,
goni,19,2,23,370,8,12319,378,
kenett,19,2,16,377,308,12019,685,
fe,19,2,6,387,0,12327,387,
rw,19,3,155,238,105,12222,343,
goni,19,3,52,341,14,12313,355,
kenett,19,3,15,378,372,11955,750,
fe,19,3,8,385,0,12327,385,
rw,19,4,192,201,134,12193,335,
goni,19,4,80,313,22,12305,335,
kenett,19,4,21,372,396,11931,768,
fe,19,4,11,382,0,12327,382,
rw,19,5,232,161,163,12164,324,
goni,19,5,110,283,33,12294,316,
kenett,19,5,19,374,425,11902,799,
fe,19,5,14,379,0,12327,379,
rw,19,6,259,134,190,12137,324,
goni,19,6,135,258,47,12280,305,
kenett,19,6,22,371,422,11905,793,
fe,19,6,16,377,0,12327,377,
rw,19,7,280,113,225,12102,338,
goni,19,7,156,237,57,12270,294,
kenett,19,7,24,369,438,11889,807,
fe,19,7,19,374,0,12327,374,
rw,19,8,299,94,255,12072,349,
goni,19,8,178,215,70,12257,285,
kenett,19,8,20,373,445,11882,818,
fe,19,8,22,371,0,12327,371,
rw,19,9,313,80,289,12038,369,
goni,19,9,190,203,90,12237,293,
kenett,19,9,32,361,439,11888,800,
fe,19,9,25,368,0,12327,368,
rw,19,10,326,67,309,12018,376,
goni,19,10,215,178,102,12225,280,
kenett,19,10,28,365,443,11884,808,
fe,19,10,28,365,0,12327,365,
rw,19,11,336,57,331,11996,388,
goni,19,11,231,162,116,12211,278,
kenett,19,11,24,369,447,11880,816,
fe,19,11,31,362,0,12327,362,
rw,19,12,345,48,362,11965,410,
goni,19,12,251,142,129,12198,271,
kenett,19,12,35,358,436,11891,794,
fe,19,12,34,359,0,12327,359,
rw,19,13,354,39,388,11939,427,
goni,19,13,259,134,134,12193,268,
kenett,19,13,185,208,289,12038,497,
fe,19,13,37,356,0,12327,356,
rw,19,14,359,34,418,11909,452,
goni,19,14,260,133,141,12186,274,
kenett,19,14,192,201,282,12045,483,
fe,19,14,40,353,0,12327,353,
rw,19,15,367,26,439,11888,465,
goni,19,15,279,114,149,12178,263,
kenett,19,15,185,208,289,12038,497,
fe,19,15,41,352,0,12327,352,
rw,19,16,371,22,461,11866,483,
goni,19,16,291,102,151,12176,253,
kenett,19,16,199,194,275,12052,469,
fe,19,16,44,349,0,12327,349,
rw,19,17,374,19,493,11834,512,
goni,19,17,300,93,160,12167,253,
kenett,19,17,207,186,267,12060,453,
fe,19,17,47,346,0,12327,346,
rw,19,18,376,17,519,11808,536,
goni,19,18,312,81,166,12161,247,
kenett,19,18,211,182,263,12064,445,
fe,19,18,49,344,0,12327,344,
rw,19,19,377,16,545,11782,561,
goni,19,19,319,74,180,12147,254,
kenett,19,19,215,178,259,12068,437,
fe,19,19,52,341,0,12327,341,
rw,19,20,380,13,570,11757,583,
goni,19,20,323,70,191,12136,261,
kenett,19,20,223,170,251,12076,421,
fe,19,20,55,338,0,12327,338,
rw,19,21,382,11,592,11735,603,
goni,19,21,325,68,205,12122,273,
kenett,19,21,232,161,242,12085,403,
fe,19,21,57,336,0,12327,336,
rw,19,22,383,10,610,11717,620,
goni,19,22,335,58,208,12119,266,
kenett,19,22,231,162,243,12084,405,
fe,19,22,59,334,0,12327,334,
rw,19,23,383,10,632,11695,642,
goni,19,23,336,57,229,12098,286,
kenett,19,23,234,159,240,12087,399,
fe,19,23,61,332,0,12327,332,
rw,19,24,384,9,655,11672,664,
goni,19,24,342,51,237,12090,288,
kenett,19,24,242,151,232,12095,383,
fe,19,24,64,329,0,12327,329,
rw,19,25,384,9,669,11658,678,
goni,19,25,344,49,241,12086,290,
kenett,19,25,243,150,231,12096,381,
fe,19,25,66,327,0,12327,327,
rw,19,26,385,8,691,11636,699,
goni,19,26,348,45,250,12077,295,
kenett,19,26,244,149,230,12097,379,
fe,19,26,68,325,0,12327,325,
rw,19,27,386,7,708,11619,715,
goni,19,27,351,42,261,12066,303,
kenett,19,27,254,139,220,12107,359,
fe,19,27,70,323,0,12327,323,
rw,19,28,387,6,726,11601,732,
goni,19,28,355,38,267,12060,305,
kenett,19,28,251,142,223,12104,365,
fe,19,28,73,320,0,12327,320,
rw,19,29,387,6,741,11586,747,
goni,19,29,356,37,276,12051,313,
kenett,19,29,263,130,211,12116,341,
fe,19,29,75,318,0,12327,318,
rw,19,30,387,6,753,11574,759,
goni,19,30,354,39,285,12042,324,
kenett,19,30,265,128,209,12118,337,
fe,19,30,76,317,0,12327,317,
rw,19,31,387,6,771,11556,777,
goni,19,31,364,29,287,12040,316,
kenett,19,31,265,128,209,12118,337,
fe,19,31,78,315,0,12327,315,
rw,19,32,387,6,789,11538,795,
goni,19,32,364,29,297,12030,326,
kenett,19,32,271,122,203,12124,325,
fe,19,32,80,313,0,12327,313,
rw,19,33,387,6,801,11526,807,
goni,19,33,364,29,305,12022,334,
kenett,19,33,268,125,206,12121,331,
fe,19,33,81,312,0,12327,312,
rw,19,34,387,6,820,11507,826,
goni,19,34,362,31,311,12016,342,
kenett,19,34,266,127,208,12119,335,
fe,19,34,83,310,0,12327,310,
rw,19,35,387,6,834,11493,840,
goni,19,35,362,31,312,12015,343,
kenett,19,35,267,126,207,12120,333,
fe,19,35,85,308,0,12327,308,
rw,19,36,388,5,852,11475,857,
goni,19,36,371,22,315,12012,337,
kenett,19,36,263,130,211,12116,341,
fe,19,36,88,305,0,12327,305,
rw,19,37,388,5,870,11457,875,
goni,19,37,375,18,326,12001,344,
kenett,19,37,270,123,204,12123,327,
fe,19,37,89,304,0,12327,304,
rw,19,38,389,4,884,11443,888,
goni,19,38,373,20,332,11995,352,
kenett,19,38,265,128,209,12118,337,
fe,19,38,92,301,0,12327,301,
rw,19,39,390,3,904,11423,907,
goni,19,39,374,19,342,11985,361,
kenett,19,39,264,129,210,12117,339,
fe,19,39,94,299,0,12327,299,
rw,19,40,391,2,925,11402,927,
goni,19,40,372,21,348,11979,369,
kenett,19,40,275,118,199,12128,317,
fe,19,40,95,298,0,12327,298,
rw,19,41,391,2,938,11389,940,
goni,19,41,375,18,361,11966,379,
kenett,19,41,284,109,190,12137,299,
fe,19,41,98,295,0,12327,295,
rw,19,42,391,2,952,11375,954,
goni,19,42,377,16,361,11966,377,
kenett,19,42,285,108,189,12138,297,
fe,19,42,101,292,0,12327,292,
rw,19,43,391,2,971,11356,973,
goni,19,43,378,15,365,11962,380,
kenett,19,43,279,114,195,12132,309,
fe,19,43,103,290,0,12327,290,
rw,19,44,391,2,994,11333,996,
goni,19,44,381,12,376,11951,388,
kenett,19,44,279,114,195,12132,309,
fe,19,44,104,289,0,12327,289,
rw,19,45,391,2,1014,11313,1016,
goni,19,45,382,11,375,11952,386,
kenett,19,45,278,115,196,12131,311,
fe,19,45,106,287,0,12327,287,
rw,19,46,392,1,1029,11298,1030,
goni,19,46,384,9,378,11949,387,
kenett,19,46,280,113,194,12133,307,
fe,19,46,109,284,0,12327,284,
rw,19,47,392,1,1040,11287,1041,
goni,19,47,384,9,385,11942,394,
kenett,19,47,280,113,194,12133,307,
fe,19,47,111,282,0,12327,282,
rw,19,48,392,1,1058,11269,1059,
goni,19,48,384,9,387,11940,396,
kenett,19,48,282,111,192,12135,303,
fe,19,48,114,279,0,12327,279,
rw,19,49,392,1,1074,11253,1075,
goni,19,49,384,9,387,11940,396,
kenett,19,49,288,105,186,12141,291,
fe,19,49,117,276,0,12327,276,
rw,19,50,392,1,1092,11235,1093,
goni,19,50,386,7,400,11927,407,
kenett,19,50,290,103,184,12143,287,
fe,19,50,119,274,0,12327,274,
rw,20,1,63,330,36,12291,366,
goni,20,1,10,383,1,12326,384,
kenett,20,1,11,382,205,12122,587,
fe,20,1,3,390,0,12327,390,
rw,20,2,111,282,70,12257,352,
goni,20,2,30,363,6,12321,369,
kenett,20,2,17,376,322,12005,698,
fe,20,2,6,387,0,12327,387,
rw,20,3,145,248,101,12226,349,
goni,20,3,62,331,14,12313,345,
kenett,20,3,17,376,358,11969,734,
fe,20,3,8,385,0,12327,385,
rw,20,4,186,207,140,12187,347,
goni,20,4,86,307,20,12307,327,
kenett,20,4,18,375,417,11910,792,
fe,20,4,11,382,0,12327,382,
rw,20,5,219,174,165,12162,339,
goni,20,5,116,277,42,12285,319,
kenett,20,5,24,369,426,11901,795,
fe,20,5,14,379,0,12327,379,
rw,20,6,250,143,192,12135,335,
goni,20,6,143,250,55,12272,305,
kenett,20,6,23,370,433,11894,803,
fe,20,6,17,376,0,12327,376,
rw,20,7,274,119,217,12110,336,
goni,20,7,170,223,66,12261,289,
kenett,20,7,17,376,445,11882,821,
fe,20,7,20,373,0,12327,373,
rw,20,8,293,100,236,12091,336,
goni,20,8,188,205,78,12249,283,
kenett,20,8,17,376,448,11879,824,
fe,20,8,22,371,0,12327,371,
rw,20,9,314,79,259,12068,338,
goni,20,9,213,180,85,12242,265,
kenett,20,9,22,371,446,11881,817,
fe,20,9,25,368,0,12327,368,
rw,20,10,323,70,292,12035,362,
goni,20,10,224,169,103,12224,272,
kenett,20,10,14,379,454,11873,833,
fe,20,10,28,365,0,12327,365,
rw,20,11,330,63,318,12009,381,
goni,20,11,231,162,106,12221,268,
kenett,20,11,16,377,452,11875,829,
fe,20,11,30,363,0,12327,363,
rw,20,12,338,55,335,11992,390,
goni,20,12,244,149,118,12209,267,
kenett,20,12,19,374,449,11878,823,
fe,20,12,31,362,0,12327,362,
rw,20,13,345,48,370,11957,418,
goni,20,13,264,129,130,12197,259,
kenett,20,13,13,380,455,11872,835,
fe,20,13,33,360,0,12327,360,
rw,20,14,357,36,392,11935,428,
goni,20,14,276,117,148,12179,265,
kenett,20,14,15,378,453,11874,831,
fe,20,14,36,357,0,12327,357,
rw,20,15,365,28,411,11916,439,
goni,20,15,283,110,153,12174,263,
kenett,20,15,31,362,440,11887,802,
fe,20,15,37,356,0,12327,356,
rw,20,16,370,23,429,11898,452,
goni,20,16,292,101,158,12169,259,
kenett,20,16,31,362,440,11887,802,
fe,20,16,40,353,0,12327,353,
rw,20,17,374,19,458,11869,477,
goni,20,17,302,91,164,12163,255,
kenett,20,17,210,183,264,12063,447,
fe,20,17,43,350,0,12327,350,
rw,20,18,375,18,484,11843,502,
goni,20,18,308,85,174,12153,259,
kenett,20,18,221,172,253,12074,425,
fe,20,18,46,347,0,12327,347,
rw,20,19,376,17,515,11812,532,
goni,20,19,312,81,181,12146,262,
kenett,20,19,228,165,246,12081,411,
fe,20,19,48,345,0,12327,345,
rw,20,20,378,15,536,11791,551,
goni,20,20,321,72,192,12135,264,
kenett,20,20,230,163,244,12083,407,
fe,20,20,50,343,0,12327,343,
rw,20,21,378,15,558,11769,573,
goni,20,21,328,65,202,12125,267,
kenett,20,21,234,159,240,12087,399,
fe,20,21,53,340,0,12327,340,
rw,20,22,380,13,584,11743,597,
goni,20,22,329,64,209,12118,273,
kenett,20,22,236,157,238,12089,395,
fe,20,22,56,337,0,12327,337,
rw,20,23,382,11,607,11720,618,
goni,20,23,336,57,224,12103,281,
kenett,20,23,234,159,240,12087,399,
fe,20,23,58,335,0,12327,335,
rw,20,24,383,10,629,11698,639,
goni,20,24,338,55,239,12088,294,
kenett,20,24,241,152,233,12094,385,
fe,20,24,61,332,0,12327,332,
rw,20,25,387,6,646,11681,652,
goni,20,25,342,51,242,12085,293,
kenett,20,25,241,152,233,12094,385,
fe,20,25,64,329,0,12327,329,
rw,20,26,388,5,666,11661,671,
goni,20,26,346,47,246,12081,293,
kenett,20,26,244,149,230,12097,379,
fe,20,26,66,327,0,12327,327,
rw,20,27,388,5,689,11638,694,
goni,20,27,351,42,255,12072,297,
kenett,20,27,248,145,226,12101,371,
fe,20,27,68,325,0,12327,325,
rw,20,28,390,3,721,11606,724,
goni,20,28,352,41,260,12067,301,
kenett,20,28,243,150,231,12096,381,
fe,20,28,70,323,0,12327,323,
rw,20,29,390,3,739,11588,742,
goni,20,29,352,41,265,12062,306,
kenett,20,29,247,146,227,12100,373,
fe,20,29,73,320,0,12327,320,
rw,20,30,391,2,755,11572,757,
goni,20,30,352,41,275,12052,316,
kenett,20,30,249,144,225,12102,369,
fe,20,30,75,318,0,12327,318,
rw,20,31,391,2,779,11548,781,
goni,20,31,356,37,285,12042,322,
kenett,20,31,252,141,222,12105,363,
fe,20,31,77,316,0,12327,316,
rw,20,32,391,2,795,11532,797,
goni,20,32,355,38,288,12039,326,
kenett,20,32,258,135,216,12111,351,
fe,20,32,77,316,0,12327,316,
rw,20,33,391,2,825,11502,827,
goni,20,33,360,33,300,12027,333,
kenett,20,33,252,141,222,12105,363,
fe,20,33,79,314,0,12327,314,
rw,20,34,391,2,846,11481,848,
goni,20,34,364,29,306,12021,335,
kenett,20,34,255,138,219,12108,357,
fe,20,34,81,312,0,12327,312,
rw,20,35,391,2,864,11463,866,
goni,20,35,369,24,318,12009,342,
kenett,20,35,246,147,228,12099,375,
fe,20,35,82,311,0,12327,311,
rw,20,36,391,2,884,11443,886,
goni,20,36,370,23,323,12004,346,
kenett,20,36,252,141,222,12105,363,
fe,20,36,84,309,0,12327,309,
rw,20,37,391,2,897,11430,899,
goni,20,37,370,23,331,11996,354,
kenett,20,37,255,138,219,12108,357,
fe,20,37,87,306,0,12327,306,
rw,20,38,392,1,920,11407,921,
goni,20,38,372,21,333,11994,354,
kenett,20,38,256,137,218,12109,355,
fe,20,38,90,303,0,12327,303,
rw,20,39,392,1,940,11387,941,
goni,20,39,375,18,340,11987,358,
kenett,20,39,261,132,213,12114,345,
fe,20,39,92,301,0,12327,301,
rw,20,40,392,1,956,11371,957,
goni,20,40,376,17,360,11967,377,
kenett,20,40,266,127,208,12119,335,
fe,20,40,94,299,0,12327,299,
rw,20,41,392,1,980,11347,981,
goni,20,41,375,18,365,11962,383,
kenett,20,41,261,132,213,12114,345,
fe,20,41,97,296,0,12327,296,
rw,20,42,392,1,1000,11327,1001,
goni,20,42,374,19,369,11958,388,
kenett,20,42,268,125,206,12121,331,
fe,20,42,98,295,0,12327,295,
rw,20,43,392,1,1005,11322,1006,
goni,20,43,374,19,375,11952,394,
kenett,20,43,272,121,202,12125,323,
fe,20,43,101,292,0,12327,292,
rw,20,44,392,1,1029,11298,1030,
goni,20,44,375,18,388,11939,406,
kenett,20,44,270,123,204,12123,327,
fe,20,44,104,289,0,12327,289,
rw,20,45,392,1,1043,11284,1044,
goni,20,45,377,16,396,11931,412,
kenett,20,45,270,123,204,12123,327,
fe,20,45,105,288,0,12327,288,
rw,20,46,392,1,1058,11269,1059,
goni,20,46,380,13,395,11932,408,
kenett,20,46,271,122,203,12124,325,
fe,20,46,108,285,0,12327,285,
rw,20,47,392,1,1077,11250,1078,
goni,20,47,380,13,400,11927,413,
kenett,20,47,260,133,214,12113,347,
fe,20,47,110,283,0,12327,283,
rw,20,48,392,1,1092,11235,1093,
goni,20,48,380,13,411,11916,424,
kenett,20,48,265,128,209,12118,337,
fe,20,48,111,282,0,12327,282,
rw,20,49,392,1,1104,11223,1105,
goni,20,49,379,14,414,11913,428,
kenett,20,49,269,124,205,12122,329,
fe,20,49,114,279,0,12327,279,
rw,20,50,392,1,1128,11199,1129,
goni,20,50,380,13,418,11909,431,
kenett,20,50,266,127,208,12119,335,
fe,20,50,117,276,0,12327,276,
rw,21,1,62,331,36,12291,367,
goni,21,1,4,389,0,12327,389,
kenett,21,1,10,383,188,12139,571,
fe,21,1,3,390,0,12327,390,
rw,21,2,117,276,68,12259,344,
goni,21,2,25,368,3,12324,371,
kenett,21,2,14,379,334,11993,713,
fe,21,2,6,387,0,12327,387,
rw,21,3,168,225,89,12238,314,
goni,21,3,63,330,8,12319,338,
kenett,21,3,15,378,387,11940,765,
fe,21,3,9,384,0,12327,384,
rw,21,4,205,188,114,12213,302,
goni,21,4,95,298,19,12308,317,
kenett,21,4,15,378,402,11925,780,
fe,21,4,12,381,0,12327,381,
rw,21,5,229,164,146,12181,310,
goni,21,5,120,273,30,12297,303,
kenett,21,5,14,379,430,11897,809,
fe,21,5,15,378,0,12327,378,
rw,21,6,257,136,174,12153,310,
goni,21,6,142,251,45,12282,296,
kenett,21,6,20,373,439,11888,812,
fe,21,6,18,375,0,12327,375,
rw,21,7,283,110,203,12124,313,
goni,21,7,176,217,62,12265,279,
